[2019-05-11 21:15:43,951](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,951](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,953](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:15:43,953](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,953](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,955](INFO)werkzeug : 127.0.0.1 - - [11/May/2019 21:15:43] "GET /querySetMeal HTTP/1.1" 200 -
[2019-05-11 21:16:18,113](INFO)werkzeug :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2019-05-11 21:16:20,370](INFO)querySetMeal : 获取参数pageNo...
[2019-05-11 21:16:20,370](INFO)querySetMeal : 未获得参数pageNo ， 赋值为1
[2019-05-11 21:16:20,371](INFO)querySetMeal : 未获得参数pageSize ， 赋值为10
[2019-05-11 21:16:20,373](INFO)querySetMeal : 尝试执行sql语句select * from setmeal limit 0 , 10
[2019-05-11 21:16:20,373](INFO)querySetMeal : 执行成功,尝试抓取数据
[2019-05-11 21:16:20,374](INFO)querySetMeal : 抓取成功
[2019-05-11 21:16:20,375](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:16:20,376](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,376](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,378](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:16:20,379](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,379](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,381](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:16:20,382](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,382](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,385](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:16:20,385](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,385](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,388](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 4
[2019-05-11 21:16:20,388](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,388](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,390](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 5
[2019-05-11 21:16:20,391](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,391](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,393](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:16:20,393](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,394](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,395](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:16:20,396](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,396](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,398](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:16:20,398](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,399](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,403](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:16:20,404](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,404](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,406](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:16:20,406](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,406](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,408](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:16:20,409](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:16:20,409](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:16:20,413](INFO)werkzeug : 127.0.0.1 - - [11/May/2019 21:16:20] "GET /querySetMeal HTTP/1.1" 200 -
[2019-05-11 21:18:56,029](INFO)werkzeug :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2019-05-11 21:18:57,342](INFO)querySetMeal : 获取参数pageNo...
[2019-05-11 21:18:57,342](INFO)querySetMeal : 未获得参数pageNo ， 赋值为1
[2019-05-11 21:18:57,343](INFO)querySetMeal : 未获得参数pageSize ， 赋值为10
[2019-05-11 21:18:57,345](INFO)querySetMeal : 尝试执行sql语句select * from setmeal limit 0 , 10
[2019-05-11 21:18:57,345](INFO)querySetMeal : 执行成功,尝试抓取数据
[2019-05-11 21:18:57,345](INFO)querySetMeal : 抓取成功
[2019-05-11 21:18:57,348](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:18:57,348](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,349](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,350](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:18:57,351](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,351](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,353](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:18:57,353](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,353](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,355](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:18:57,355](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,356](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,357](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 4
[2019-05-11 21:18:57,358](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,358](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,360](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 5
[2019-05-11 21:18:57,360](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,360](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,363](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:18:57,364](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,364](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,367](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:18:57,368](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,368](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,370](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:18:57,370](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,370](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,372](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:18:57,372](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,373](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,374](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:18:57,375](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,375](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,377](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:18:57,377](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:18:57,378](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:18:57,380](INFO)werkzeug : 127.0.0.1 - - [11/May/2019 21:18:57] "GET /querySetMeal HTTP/1.1" 200 -
